Designator,"Mid X" ,"Mid Y",Layer,Rotation
"C1",-81.500000 ,27.000000,Top,180.000000
"C2",-39.200000 ,11.750000,Top,270.000000
"C3",-81.300000 ,11.250000,Top,180.000000
"C4",-100.981000 ,9.000000,Top,180.000000
"C5",-57.770000 ,14.250000,Top,0.000000
"C6",-107.025000 ,10.760596,Top,270.000000
"C7",-52.000000 ,22.500000,Top,90.000000
"C8",-46.000000 ,10.000000,Top,0.000000
"C17",-78.850000 ,30.000000,Top,90.000000
"C18",-87.370000 ,23.000000,Top,0.000000
"C19",-88.330000 ,21.500000,Top,180.000000
"C20",-103.000000 ,12.450000,Top,180.000000
"C21",-103.000000 ,15.900000,Top,90.000000
"C22",-14.250000 ,26.470000,Top,0.000000
"C23",-77.350000 ,11.250000,Top,270.000000
"C24",-75.350000 ,11.250000,Top,270.000000
"C25",-73.850000 ,11.250000,Top,270.000000
"C26",-32.250000 ,21.120000,Top,270.000000
"C27",-42.400000 ,28.250000,Top,90.000000
"C28",-69.000000 ,28.500000,Top,90.000000
"C29",-24.200000 ,31.460000,Top,180.000000
"C30",-24.200000 ,29.460000,Top,180.000000
"C31",-12.980000 ,30.500000,Top,180.000000
"C32",-84.000000 ,22.250000,Top,180.000000
"C33",-48.250000 ,20.000000,Top,180.000000
"C34",-67.250000 ,23.250000,Top,0.000000
"FB1",-12.250000 ,24.000000,Top,90.000000
"IC1",-58.000000 ,23.000000,Top,90.000000
"J1",0.000000 ,0.000000,Top,0.000000
"J3",-111.275000 ,10.760596,Top,270.000000
"J5",3.575893 ,19.564107,Top,180.000000
"J7",-26.250000 ,14.000000,Top,180.000000
"R1",-14.750000 ,16.000000,Top,0.000000
"R2",-50.010000 ,28.000000,Top,180.000000
"R3",-82.250000 ,14.000000,Top,270.000000
"R6",-84.000000 ,23.500000,Top,180.000000
"R7",-67.500000 ,14.000000,Top,270.000000
"R8",-67.500000 ,16.000000,Top,90.000000
"R9",-69.250000 ,13.500000,Top,90.000000
"R10",-69.250000 ,11.500000,Top,270.000000
"R11",-14.750000 ,14.750000,Top,0.000000
"R12",-14.750000 ,17.250000,Top,0.000000
"R13",-14.750000 ,18.500000,Top,0.000000
"R14",-15.000000 ,28.500000,Top,0.000000
"R15",-16.500000 ,32.000000,Top,180.000000
"R16",-19.000000 ,31.250000,Top,180.000000
"S1",-20.000000 ,13.000000,Top,0.000000
"S2",-20.000000 ,19.500000,Top,0.000000
"U2",-40.000000 ,20.000000,Top,270.000000
"U3",-75.600000 ,20.000000,Top,0.000000
"U4",-96.356000 ,14.750000,Top,0.000000
"X2",-86.800000 ,18.685000,Top,0.000000
